file,row,column,table,cell,published,digits,note
table1.csv,1,reproduced_all,Table 1,Wave 1 | Number of stores in sample frame | all,473.0,0,not identifiable from 410-row respondent file
table1.csv,1,reproduced_NJ,Table 1,Wave 1 | Number of stores in sample frame | NJ,364.0,0,not identifiable from 410-row respondent file
table1.csv,1,reproduced_PA,Table 1,Wave 1 | Number of stores in sample frame | PA,109.0,0,not identifiable from 410-row respondent file
table1.csv,2,reproduced_all,Table 1,Wave 1 | Number of refusals | all,63.0,0,not identifiable from 410-row respondent file
table1.csv,2,reproduced_NJ,Table 1,Wave 1 | Number of refusals | NJ,33.0,0,not identifiable from 410-row respondent file
table1.csv,2,reproduced_PA,Table 1,Wave 1 | Number of refusals | PA,30.0,0,not identifiable from 410-row respondent file
table1.csv,3,reproduced_all,Table 1,Wave 1 | Number interviewed | all,410.0,0,identified by row/state counts
table1.csv,3,reproduced_NJ,Table 1,Wave 1 | Number interviewed | NJ,331.0,0,identified by row/state counts
table1.csv,3,reproduced_PA,Table 1,Wave 1 | Number interviewed | PA,79.0,0,identified by row/state counts
table1.csv,4,reproduced_all,Table 1,Wave 1 | Response rate (percentage) | all,86.7,1,requires original sample frame
table1.csv,4,reproduced_NJ,Table 1,Wave 1 | Response rate (percentage) | NJ,90.9,1,requires original sample frame
table1.csv,4,reproduced_PA,Table 1,Wave 1 | Response rate (percentage) | PA,72.5,1,requires original sample frame
table1.csv,5,reproduced_all,Table 1,Wave 2 | Number of stores in sample frame | all,410.0,0,
table1.csv,5,reproduced_NJ,Table 1,Wave 2 | Number of stores in sample frame | NJ,331.0,0,
table1.csv,5,reproduced_PA,Table 1,Wave 2 | Number of stores in sample frame | PA,79.0,0,
table1.csv,6,reproduced_all,Table 1,Wave 2 | Number closed | all,6.0,0,
table1.csv,6,reproduced_NJ,Table 1,Wave 2 | Number closed | NJ,5.0,0,
table1.csv,6,reproduced_PA,Table 1,Wave 2 | Number closed | PA,1.0,0,
table1.csv,7,reproduced_all,Table 1,Wave 2 | Number under renovation | all,2.0,0,
table1.csv,7,reproduced_NJ,Table 1,Wave 2 | Number under renovation | NJ,2.0,0,
table1.csv,7,reproduced_PA,Table 1,Wave 2 | Number under renovation | PA,0.0,0,
table1.csv,8,reproduced_all,Table 1,Wave 2 | Number temporarily closed | all,2.0,0,
table1.csv,8,reproduced_NJ,Table 1,Wave 2 | Number temporarily closed | NJ,2.0,0,
table1.csv,8,reproduced_PA,Table 1,Wave 2 | Number temporarily closed | PA,0.0,0,
table1.csv,9,reproduced_all,Table 1,Wave 2 | Number of refusals | all,1.0,0,
table1.csv,9,reproduced_NJ,Table 1,Wave 2 | Number of refusals | NJ,1.0,0,
table1.csv,9,reproduced_PA,Table 1,Wave 2 | Number of refusals | PA,0.0,0,
table1.csv,10,reproduced_all,Table 1,Wave 2 | Number interviewed | all,399.0,0,
table1.csv,10,reproduced_NJ,Table 1,Wave 2 | Number interviewed | NJ,321.0,0,
table1.csv,10,reproduced_PA,Table 1,Wave 2 | Number interviewed | PA,78.0,0,
table2.csv,1,NJ_mean,Table 2,Store types | Burger King | NJ mean,41.1,1,
table2.csv,1,PA_mean,Table 2,Store types | Burger King | PA mean,44.3,1,
table2.csv,1,t_stat,Table 2,Store types | Burger King | t,-0.5,1,
table2.csv,2,NJ_mean,Table 2,Store types | KFC | NJ mean,20.5,1,
table2.csv,2,PA_mean,Table 2,Store types | KFC | PA mean,15.2,1,
table2.csv,2,t_stat,Table 2,Store types | KFC | t,1.2,1,
table2.csv,3,NJ_mean,Table 2,Store types | Roy Rogers | NJ mean,24.8,1,
table2.csv,3,PA_mean,Table 2,Store types | Roy Rogers | PA mean,21.5,1,
table2.csv,3,t_stat,Table 2,Store types | Roy Rogers | t,0.6,1,
table2.csv,4,NJ_mean,Table 2,Store types | Wendy's | NJ mean,13.6,1,
table2.csv,4,PA_mean,Table 2,Store types | Wendy's | PA mean,19.0,1,
table2.csv,4,t_stat,Table 2,Store types | Wendy's | t,-1.1,1,
table2.csv,5,NJ_mean,Table 2,Store types | Company-owned | NJ mean,34.1,1,
table2.csv,5,PA_mean,Table 2,Store types | Company-owned | PA mean,35.4,1,
table2.csv,5,t_stat,Table 2,Store types | Company-owned | t,-0.2,1,
table2.csv,6,NJ_mean,Table 2,Wave 1 | FTE employment | NJ mean,20.4,1,
table2.csv,6,NJ_se,Table 2,Wave 1 | FTE employment | NJ SE,0.51,2,
table2.csv,6,PA_mean,Table 2,Wave 1 | FTE employment | PA mean,23.3,1,
table2.csv,6,PA_se,Table 2,Wave 1 | FTE employment | PA SE,1.35,2,
table2.csv,6,t_stat,Table 2,Wave 1 | FTE employment | t,-2.0,1,
table2.csv,7,NJ_mean,Table 2,Wave 1 | Percentage full-time employees | NJ mean,32.8,1,
