"section","variable","NJ_mean","NJ_se","NJ_n","PA_mean","PA_se","PA_n","t_stat","paper_mean_digits"
"Store types","Burger King",41.0876132930514,2.70833134537128,331,44.3037974683544,5.62452650624634,79,-0.515197465726683,1
"Store types","KFC",20.5438066465257,2.2240644428223,331,15.1898734177215,4.06399936800569,79,1.15566578377612,1
"Store types","Roy Rogers",24.773413897281,2.37641144891869,331,21.5189873417722,4.65313778604517,79,0.622875036664737,1
"Store types","Wendy's",13.595166163142,1.88670634392701,331,18.9873417721519,4.44080009775711,79,-1.11755555743525,1
"Store types","Company-owned",34.1389728096677,2.61025240650386,331,35.4430379746835,5.41613787153783,79,-0.216898902718098,1
"Wave 1","FTE employment",20.4394080996885,0.508260703414791,321,23.3311688311688,1.35114886147513,77,-2.00318271687211,1
"Wave 1","Percentage full-time employees",32.848869932815,1.32561013644241,321,35.0377977043563,2.72744745173529,77,-0.721816736953244,1
"Wave 1","Starting wage",4.61213375796178,0.0195456913098435,314,4.63013157894737,0.0403413041657223,76,-0.401495608420264,2
"Wave 1","Wage = $4.25 (percentage)",30.5135951661631,2.53477631949133,331,32.9113924050633,5.32047266367869,79,-0.406859355042959,1
"Wave 1","Price of full meal",3.35106109324759,0.0365441237179625,311,3.04236842105263,0.0689497321142978,76,3.95579820117633,2
"Wave 1","Hours open (weekday)",14.4184290030211,0.152770429739819,331,14.5253164556962,0.332060870614144,79,-0.292427529176647,1
"Wave 1","Recruiting bonus (percentage)",23.5649546827795,2.33626766515785,331,29.1139240506329,5.14379366067057,79,-0.982206784356847,1
"Wave 2","FTE employment",21.0274294670846,0.520309441494816,319,21.1655844155844,0.943221155457952,77,-0.128252198648383,1
"Wave 2","Percentage full-time employees",35.8655520151658,1.3799929490855,314,30.3848490820904,2.8060728004411,76,1.75267667149006,1
"Wave 2","Starting wage",5.08084905660377,0.00586256666171005,318,4.61746478873239,0.042424850501028,71,10.819656820922,2
"Wave 2","Wage = $4.25 (percentage)",0,0,331,25.3164556962025,4.92341688808472,79,-5.14204997701322,1
"Wave 2","Wage = $5.05 (percentage)",85.4984894259819,1.93833515605333,331,1.26582278481013,1.26582278481013,79,36.38483566785,1
"Wave 2","Price of full meal",3.41475409836066,0.036396816958354,305,3.02661971830986,0.0672063831349625,71,5.07835042425448,2
"Wave 2","Hours open (weekday)",14.4197819314642,0.151888004062814,321,14.6538461538462,0.326984284489848,78,-0.649205596271182,1
"Wave 2","Recruiting bonus (percentage)",20.3174603174603,2.27065665604994,315,23.3766233766234,4.8547261524614,77,-0.570792548615974,1
