"specification","description","change_NJ","change_NJ_se","change_GAP","change_GAP_se","proportional_NJ","proportional_NJ_se","proportional_GAP","proportional_GAP_se","n","note"
1,"Base specification",2.30385950943333,1.19553247876161,14.915673959184,6.2053345597466,0.0500924387490824,0.0506482087240545,0.337054437644305,0.263403507528975,357,""
2,"Treat four temporarily closed stores as permanently closed",2.02790917876599,1.21896955817068,14.4236516355006,6.31224977086365,0.0351901461440701,0.0522594795268645,0.344635833224095,0.271101229094288,361,"released data produce 2.03 rather than printed 2.20 for the NJ coefficient"
3,"Exclude managers from employment count",2.3421331116446,1.16588363605524,14.6903147365592,6.05324179663277,0.0506958039045894,0.0653968683541553,0.283308927174736,0.340379995555793,357,"printed-table reproduction uses -2 for closed stores; paper-stated -1 results exported separately"
4,"Weight part-time as 0.4 x full-time",2.33990688215027,1.20048626307744,15.2332220497743,6.23004439989444,0.0562280079913861,0.0624888181958598,0.29944774950296,0.325269034789755,357,"printed-table reproduction uses -2 for closed stores; paper-stated -1 results exported separately"
5,"Weight part-time as 0.6 x full-time",2.26781213671638,1.20651837232228,14.5981258685938,6.26380235942891,0.0395344965362152,0.0566246272645482,0.165525555957054,0.294832663542918,357,"printed-table reproduction uses -2 for closed stores; paper-stated -1 results exported separately"
6,"Exclude stores in NJ shore area",2.58507461123781,1.19530947029479,16.8849901250983,6.36735001560979,0.0554153576068541,0.0513313553519052,0.416943669063589,0.273938751131071,326,""
7,"Add controls for wave-2 interview period",2.2733541413682,1.20203519654324,15.7917858840832,6.24160211566661,0.0539654695732904,0.0507371548282069,0.399538966530997,0.264072763897226,357,"period bins: Nov 5-11, Nov 12-19, Dec 9-15, Dec 16-31; one 1991 date typo corrected to 1992"
8,"Exclude stores called more than twice in wave 1",2.41887638446055,1.28607386799849,14.0799982592971,7.11145746786504,0.0536938301590143,0.0528427499450359,0.308848387476097,0.29234794685001,294,""
9,"Weight proportional-change model by initial employment",,,,,0.125317930093683,0.0488140141984921,0.812583248343733,0.262565995044845,357,""
10,"Stores in towns around Newark",,,,,,,,,,"not reproducible: three-digit ZIP codes used for this subsample are absent from public.dat"
11,"Stores in towns around Camden",,,,,,,,,,"not reproducible: three-digit ZIP codes used for this subsample are absent from public.dat"
12,"Pennsylvania stores only",,,-0.304388669160026,22.0034385237287,,,-0.330182506165009,0.740769208574244,67,"PA wage gap redefined as increase required to reach $5.05"
