"outcome","NJ_mean_change","NJ_mean_se","NJ_n","PA_mean_change","PA_mean_se","PA_n","NJ_minus_PA","NJ_minus_PA_se","NJ_dummy","NJ_dummy_se","NJ_reg_n","GAP","GAP_se","GAP_reg_n","GAP_with_regions","GAP_with_regions_se","GAP_region_n"
"Fraction full-time workers (percentage)",2.64530842723146,1.71408671028306,304,-4.65056379257175,3.8040938527119,74,7.29587221980321,4.17243613379635,7.29945892501455,3.95257620319434,378,44.8874443379642,21.0464145848392,362,38.7327940071489,25.2754533300575,362
"Number of hours open per weekday",-0.00233644859813084,0.0584190025961232,321,0.108974358974359,0.0844402520639162,78,-0.11131080757249,0.102678800309234,-0.107322084850077,0.122546953316405,399,-0.300268522891966,0.673427829231257,382,-0.0477907555452122,0.816537758360587,382
"Number of cash registers",-0.042483660130719,0.042483660130719,306,0.131578947368421,0.0997226069552443,76,-0.17406260749914,0.108394924770732,-0.182179515653608,0.0994475336566968,382,-0.304774492096441,0.548934528458653,367,0.410995083731941,0.665774759025587,367
"Number of cash registers open at 11:00 A.M.",-0.0402684563758389,0.0545654548309425,298,-0.216216216216216,0.0866298330751395,74,0.175947759840377,0.102382209585133,0.179115236426012,0.11836871592966,372,0.115243066749017,0.648409123024593,358,-0.693784949003339,0.788565828654739,358
"Low-price meal program (percentage)",-4.67289719626168,2.65300969064727,321,-1.28205128205128,3.86829016618747,78,-3.3908459142104,4.6906427308516,-2.12536682487668,5.63752504087413,399,-22.8769210743463,30.0212034659444,382,-20.1106706451001,36.4415737746641,382
"Free meal program (percentage)",8.41121495327103,2.17804134325634,321,6.41025641025641,3.33486990378987,78,2.00095854301462,3.98311704173218,0.486574616537976,4.49774144751797,399,28.8313610260715,24.3795526633316,382,36.5289205183326,29.5552051845139,382
"Combination of low-price and free meals (percentage)",-4.04984423676012,1.98498845134878,321,-5.12820512820513,3.10619883248525,78,1.078360891445,3.68627865725324,1.20158900413843,4.32470571526912,399,-14.6659092584184,23.1859459433614,382,-26.5280907998751,28.0625357513517,382
"Time to first raise (weeks)",3.76848249027237,0.885708468714016,257,1.2578125,1.97146031591299,64,2.51066999027237,2.16128093240362,2.21025379337315,2.02787992022409,321,0.400276334747394,11.067366351329,310,-13.2332677248336,13.422310831329,310
"Usual amount of first raise (dollars)",-0.00975103734439834,0.00930706488728083,241,-0.0174545454545455,0.0164945010361696,55,0.00770350811014711,0.0189391135285751,0.00546996545764368,0.0209299702410199,296,0.0111547110606121,0.111233996013686,289,-0.015431600207027,0.134918347683175,289
"Slope of wage profile (percent per week)",-0.101491037476548,0.0382083544926978,219,-0.105663172462822,0.0857114508843587,51,0.00417213498627458,0.093842054355931,0.013657567523426,0.0900609319478004,270,-0.0753948169294613,0.473700907608489,270,-0.0829746433752624,0.570823296322616,270
